number;no_foil;foil
434;false;false
435;false;false
436;false;false
437;false;false
438;false;false
439;false;false
440;false;false
441;false;false
442;false;false
443;false;false
444;false;false
445;false;false
446;false;false
447;false;false
448;false;false
449;false;false
450;false;false
451;false;false
452;false;false
453;false;false
454;false;false
455;false;false
456;false;false
457;false;false
458;false;false
459;false;false
460;false;false
461;false;false
462;false;false
463;false;false
464;false;false
465;false;false
466;false;false
467;false;false
468;false;false
469;false;false
470;false;false
471;false;false
472;false;false
473;false;false
474;false;false
475;false;false
476;false;false
477;false;false
478;false;false
479;false;false
480;false;false
481;false;false
482;false;false
483;false;false
484;false;false
485;false;false
486;false;false
487;false;false
488;false;false
489;false;false
490;false;false
491;false;false
492;false;false
493;false;false
494;false;false
495;false;false
496;false;false
497;false;false
498;false;false
499;false;false
500;false;false
501;false;false
502;false;false
503;false;false
504;false;false
505;false;false
506;false;false
507;false;false
508;false;false
509;false;false
510;false;false
511;false;false
512;false;false
513;false;false
514;false;false
515;false;false
516;false;false
517;false;false
518;false;false
519;false;false
520;false;false
521;false;false
522;false;false
523;false;false
524;false;false
525;false;false
526;false;false
527;false;false
528;false;false
529;false;false
530;false;false
531;false;false
532;false;false
533;false;false
534;false;false
535;false;false
536;false;false
537;false;false
538;false;false
539;false;false
540;false;false
541;false;false
542;false;false
543;false;false
544;false;false
545;false;false
546;false;false
547;false;false
548;false;false
549;false;false
550;false;false
551;false;false
552;false;false
553;false;false
554;false;false
555;false;false
556;false;false
557;false;false
558;false;false
559;false;false
560;false;false
561;false;false
562;false;false
563;false;false
564;false;false
565;false;false
566;false;false
567;false;false
568;false;false
569;false;false
570;false;false
571;false;false
572;false;false
573;false;false
574;false;false
575;false;false
576;false;false
577;false;false
578;false;false
579;false;false
580;false;false
581;false;false
582;false;false
583;false;false
584;false;false
585;false;false
586;false;false
587;false;false
588;false;false
589;false;false
590;false;false
591;false;false
592;false;false
593;false;false
594;false;false
595;false;false
596;false;false
597;false;false
598;false;false
599;false;false
600;false;false
601;false;false
602;false;false
603;false;false
604;false;false
605;false;false
606;false;false
607;false;false
608;false;false
609;false;false
610;false;false
611;false;false
612;false;false
613;false;false
614;false;false
615;false;false
616;false;false
617;false;false
618;false;false
619;false;false
620;false;false
621;false;false
622;false;false
623;false;false
624;false;false
625;false;false
626;false;false
627;false;false
628;false;false
629;false;false
630;false;false
631;false;false
632;false;false
633;false;false
634;false;false
635;false;false
636;false;false
637;false;false
638;false;false
639;false;false
640;false;false
641;false;false
642;false;false
643;false;false
644;false;false
645;false;false
646;false;false
647;false;false
648;false;false
649;false;false
650;false;false
651;false;false
652;false;false
653;false;false
654;false;false
655;false;false
656;false;false
657;false;false
658;false;false
659;false;false
660;false;false
661;false;false
662;false;false
663;false;false
664;false;false
665;false;false
666;false;false
667;false;false
668;false;false
669;false;false
670;false;false
671;false;false
672;false;false
673;false;false
674;false;false
675;false;false
676;false;false
677;false;false
678;false;false
679;false;false
680;false;false
681;false;false
682;false;false
683;false;false
684;false;false
685;false;false
686;false;false
687;false;false
688;false;false
689;false;false
690;false;false
691;false;false
692;false;false
693;false;false
694;false;false
695;false;false
696;false;false
697;false;false
698;false;false
699;false;false
700;false;false
701;false;false
702;false;false
703;false;false
704;false;false
705;false;false
706;false;false
707;false;false
708;false;false
709;false;false
710;false;false
711;false;false
712;false;false
713;false;false
714;false;false
715;false;false
716;false;false
717;false;false
718;false;false
719;false;false
720;false;false
721;false;false
722;false;false
723;false;false
724;false;false
725;false;false
726;false;false
727;false;false
728;false;false
729;false;false
730;false;false
731;false;false
731z;false;false
732;false;false
732z;false;false
733;false;false
733z;false;false
734;false;false
734z;false;false
735;false;false
735z;false;false
736;false;false
736z;false;false
737;false;false
737z;false;false
738;false;false
738z;false;false
739;false;false
739z;false;false
740;false;false
740z;false;false
741;false;false
741z;false;false
742;false;false
742z;false;false
743;false;false
743z;false;false
744;false;false
744z;false;false
745;false;false
745z;false;false
746;false;false
746z;false;false
747;false;false
747z;false;false
748;false;false
748z;false;false
749;false;false
749z;false;false
750;false;false
750z;false;false
751;false;false
752;false;false
753;false;false
754;false;false
755;false;false
756;false;false
757;false;false
758;false;false
759;false;false
760;false;false
761;false;false
762;false;false
763;false;false
764;false;false
765;false;false
766;false;false
767;false;false
768;false;false
769;false;false
770;false;false
771;false;false
772;false;false
773;false;false
774;false;false
775;false;false
776;false;false
777;false;false
778;false;false
779;false;false
780;false;false
781;false;false
782;false;false
783;false;false
784;false;false
785;false;false
786;false;false
787;false;false
788;false;false
789;false;false
790;false;false
791;false;false
792;false;false
793;false;false
794;false;false
795;false;false
796;false;false
797;false;false
798;false;false
799;false;false
800;false;false
801;false;false
802;false;false
803;false;false
804;false;false
805;false;false
806;false;false
807;false;false
808;false;false
809;false;false
810;false;false
811;false;false
812;false;false
813;false;false
814;false;false
815;false;false
816;false;false
817;false;false
818;false;false
819;false;false
820;false;false
821;false;false
822;false;false
823;false;false
824;false;false
825;false;false
826;false;false
827;false;false
828;false;false
829;false;false
830;false;false
831;false;false
832;false;false
833;false;false
